listid,sellerid,eventid,dateid,numtickets,priceperticket,totalprice,listtime
8224,31449,313,1827,10,157.00,1570.00,2008-01-01 10:29:56
12708,24664,3234,1827,26,49.00,1274.00,2008-01-01 12:30:36
17885,33096,7443,1827,9,171.00,1539.00,2008-01-01 06:16:36
24977,19588,3730,1827,10,124.00,1240.00,2008-01-01 12:19:11
30509,27490,5724,1827,8,291.00,2328.00,2008-01-01 12:57:00
42728,31500,5325,1827,4,303.00,1212.00,2008-01-01 05:30:52
51279,25126,4881,1827,18,59.00,1062.00,2008-01-01 11:22:08
57298,42212,4226,1827,10,283.00,2830.00,2008-01-01 09:29:38
61307,46040,4973,1827,9,218.00,1962.00,2008-01-01 02:52:59
70465,24239,2628,1827,6,182.00,1092.00,2008-01-01 07:32:48
73790,20429,1150,1827,12,118.00,1416.00,2008-01-01 01:06:41
78038,25746,8207,1827,12,492.00,5904.00,2008-01-01 06:25:51
85164,36451,7735,1827,20,378.00,7560.00,2008-01-01 11:51:08
91471,14147,2606,1827,10,42.00,420.00,2008-01-01 03:02:56
101265,28464,8524,1827,2,404.00,808.00,2008-01-01 08:22:56
105786,42166,6071,1827,6,89.00,534.00,2008-01-01 03:51:57
114849,35149,2508,1827,4,102.00,408.00,2008-01-01 08:16:31
118865,30595,8450,1827,20,492.00,9840.00,2008-01-01 01:22:05
124273,11876,4342,1827,16,227.00,3632.00,2008-01-01 08:45:38
130880,32868,1470,1827,20,314.00,6280.00,2008-01-01 09:05:54
135080,2271,2124,1827,20,196.00,3920.00,2008-01-01 03:00:56
141852,10543,5517,1827,2,164.00,328.00,2008-01-01 01:36:15
152355,27265,6849,1827,18,317.00,5706.00,2008-01-01 05:53:14
161018,33467,356,1827,22,184.00,4048.00,2008-01-01 04:57:25
165727,46289,2541,1827,2,138.00,276.00,2008-01-01 09:59:11
171244,5899,4381,1827,5,76.00,380.00,2008-01-01 06:56:23
175888,23049,5111,1827,12,279.00,3348.00,2008-01-01 03:13:10
205962,42580,7672,1827,2,1937.00,3874.00,2008-01-01 09:52:54
218529,30614,3828,1827,1,2297.00,2297.00,2008-01-01 02:27:59
222243,13860,4953,1827,4,810.00,3240.00,2008-01-01 02:16:05
231937,23517,6028,1827,4,1357.00,5428.00,2008-01-01 02:37:08
8942,23600,2557,1827,12,105.00,1260.00,2008-01-01 07:20:48
17634,25076,3195,1827,16,144.00,2304.00,2008-01-01 04:17:38
25307,29684,1250,1827,3,116.00,348.00,2008-01-01 11:51:32
31647,25522,1821,1827,14,285.00,3990.00,2008-01-01 05:54:36
37400,48677,4671,1827,5,329.00,1645.00,2008-01-01 05:54:52
44216,9332,4476,1827,1,115.00,115.00,2008-01-01 06:23:13
53184,4609,4415,1827,20,48.00,960.00,2008-01-01 06:27:10
56899,32337,4654,1827,7,32.00,224.00,2008-01-01 10:04:40
63056,9834,7074,1827,5,23.00,115.00,2008-01-01 01:31:07
69531,15548,2347,1827,12,155.00,1860.00,2008-01-01 01:21:51
966,44276,5720,1828,6,69.00,414.00,2008-01-02 01:19:55
6342,35192,6884,1828,4,36.00,144.00,2008-01-02 04:36:32
12971,47919,3878,1828,28,49.00,1372.00,2008-01-02 12:40:12
16762,17336,2347,1828,4,243.00,972.00,2008-01-02 03:18:35
21280,31583,8538,1828,6,153.00,918.00,2008-01-02 05:12:32
30128,46711,7703,1828,3,198.00,594.00,2008-01-02 05:47:47
40393,31466,4953,1828,20,295.00,5900.00,2008-01-02 07:59:09
47795,516,8528,1828,14,245.00,3430.00,2008-01-02 07:30:14
55444,38006,8255,1828,1,339.00,339.00,2008-01-02 03:12:32
63962,39867,4563,1828,18,233.00,4194.00,2008-01-02 12:35:50
76429,9038,3754,1827,24,62.00,1488.00,2008-01-01 09:24:16
81695,35664,2932,1827,14,130.00,1820.00,2008-01-01 01:37:54
85578,27403,1297,1827,18,172.00,3096.00,2008-01-01 01:54:50
