salesid,listid,sellerid,buyerid,eventid,dateid,qtysold,pricepaid,commission,saletime
2474,2651,12949,2043,2325,1830,1,246.00,36.90,2008-01-04 08:03:29
3566,3847,8041,873,4903,1830,1,74.00,11.10,2008-01-04 09:52:20
485,483,11556,3421,5156,1831,4,188.00,28.20,2008-01-05 05:17:38
3228,3470,3558,1077,7039,1832,3,366.00,54.90,2008-01-06 07:51:41
677,691,16739,1396,2563,1835,2,206.00,30.90,2008-01-09 02:51:02
2037,2181,15911,2043,581,1837,1,105.00,15.75,2008-01-11 07:13:22
3379,3664,13532,1536,8279,1837,2,354.00,53.10,2008-01-11 01:44:37
1353,1420,9706,1816,2638,1838,1,227.00,34.05,2008-01-12 12:13:01
2282,2456,27435,81,5463,1838,2,448.00,67.20,2008-01-12 09:26:50
3142,3365,32175,7198,7003,1838,1,233.00,34.95,2008-01-12 04:27:41
3212,3448,39030,7719,5829,1838,4,332.00,49.80,2008-01-12 07:04:47
1712,1825,45077,11303,3181,1840,1,118.00,17.70,2008-01-14 01:40:27
2595,2785,39693,1674,5253,1840,2,474.00,71.10,2008-01-14 01:46:09
2772,2972,9443,9056,136,1841,1,58.00,8.70,2008-01-15 10:05:36
785,804,42943,5955,504,1842,1,247.00,37.05,2008-01-16 01:47:13
1107,1141,48049,1632,7815,1842,2,138.00,20.70,2008-01-16 06:23:19
1387,1469,48659,1554,4706,1842,2,224.00,33.60,2008-01-16 01:56:40
166,170,41730,3560,4329,1843,2,306.00,45.90,2008-01-17 08:03:26
636,649,45192,8681,3313,1843,3,456.00,68.40,2008-01-17 10:23:30
1711,1825,45077,13358,3181,1843,2,236.00,35.40,2008-01-17 01:28:28
2559,2747,1368,6115,2217,1843,1,237.00,35.55,2008-01-17 12:10:36
2732,2945,25930,4345,3544,1843,4,876.00,131.40,2008-01-17 08:37:07
3213,3448,39030,12301,5829,1843,1,83.00,12.45,2008-01-17 07:07:32
3580,3865,34197,7134,2106,1843,2,80.00,12.00,2008-01-17 10:21:51
330,329,9502,3155,3158,1844,1,41.00,6.15,2008-01-18 10:28:08
496,500,32297,3710,7787,1844,2,214.00,32.10,2008-01-18 06:38:42
3579,3865,34197,7862,2106,1844,1,40.00,6.00,2008-01-18 10:19:42
704,724,35016,15780,3468,1845,1,40.00,6.00,2008-01-19 05:23:55
2323,2493,39828,13999,4437,1845,1,103.00,15.45,2008-01-19 11:35:43
1082,1110,39846,8083,2699,1846,4,640.00,96.00,2008-01-20 04:29:14
2586,2771,26881,3212,3031,1846,3,423.00,63.45,2008-01-20 01:14:19
3042,3249,7716,5204,3512,1846,2,376.00,56.40,2008-01-20 10:49:19
3380,3664,13532,8948,8279,1846,1,177.00,26.55,2008-01-20 01:45:26
784,804,42943,10059,504,1847,3,741.00,111.15,2008-01-21 01:43:07
1386,1469,48659,6272,4706,1848,1,112.00,16.80,2008-01-22 01:55:07
2038,2181,15911,11174,581,1848,2,210.00,31.50,2008-01-22 07:17:40
616,624,17095,5643,5309,1849,4,448.00,67.20,2008-01-23 08:19:34
1006,1018,26355,4120,8064,1849,3,474.00,71.10,2008-01-23 09:27:51
1877,1997,45506,6016,6823,1849,3,600.00,90.00,2008-01-23 11:11:42
816,830,3676,2725,7676,1850,2,178.00,26.70,2008-01-24 05:01:50
1081,1110,39846,11219,2699,1850,2,320.00,48.00,2008-01-24 04:25:11
1665,1766,19553,3217,1670,1850,2,410.00,61.50,2008-01-24 10:02:23
2984,3178,7798,4642,7990,1850,1,52.00,7.80,2008-01-24 08:16:52
3416,3694,28939,1553,1446,1850,2,402.00,60.30,2008-01-24 03:52:23
2733,2945,25930,11569,3544,1851,1,219.00,32.85,2008-01-25 08:39:42
1298,1372,3343,11272,1281,1852,1,75.00,11.25,2008-01-26 08:23:01
1876,1997,45506,8346,6823,1852,1,200.00,30.00,2008-01-26 11:11:37
1710,1825,45077,21903,3181,1853,4,472.00,70.80,2008-01-27 01:27:14
3541,3823,28835,941,8703,1853,2,72.00,10.80,2008-01-27 08:54:36
413,411,2398,2635,3463,1854,4,604.00,90.60,2008-01-28 09:20:53
710,732,8910,21696,2703,1854,1,117.00,17.55,2008-01-28 05:55:37
1952,2100,17934,7642,7319,1854,1,186.00,27.90,2008-01-28 03:07:46
2274,2451,16059,13987,5658,1854,2,220.00,33.00,2008-01-28 09:12:14
2466,2642,5094,3382,7147,1854,3,612.00,91.80,2008-01-28 07:41:04
2823,3023,19447,2725,2006,1854,2,176.00,26.40,2008-01-28 12:53:52
3043,3249,7716,11943,3512,1854,4,752.00,112.80,2008-01-28 10:50:03
3496,3767,27100,11894,5687,1854,4,744.00,111.60,2008-01-28 06:46:05
553,558,41018,6056,654,1855,1,212.00,31.80,2008-01-29 01:13:31
705,724,35016,24036,3468,1855,4,160.00,24.00,2008-01-29 05:31:55
2558,2747,1368,16663,2217,1855,2,474.00,71.10,2008-01-29 12:07:19
2857,3053,34772,10588,3557,1855,4,728.00,109.20,2008-01-29 02:28:48
3241,3486,44866,20299,302,1855,2,486.00,72.90,2008-01-29 08:12:06
3280,3542,47611,20115,1221,1855,1,234.00,35.10,2008-01-29 10:04:48
3279,3542,47611,21301,1221,1856,2,468.00,70.20,2008-01-30 10:01:40
3620,3909,37082,2801,1611,1856,1,143.00,21.45,2008-01-30 11:45:55
651,664,36539,15405,7514,1857,1,105.00,15.75,2008-01-31 11:51:46
652,664,36539,15154,7514,1857,3,315.00,47.25,2008-01-31 11:54:13
2822,3023,19447,5733,2006,1857,1,88.00,13.20,2008-01-31 12:53:02
3542,3823,28835,4857,8703,1857,6,216.00,32.40,2008-01-31 08:55:15
3725,4022,47007,2170,5346,1857,1,240.00,36.00,2008-01-31 04:29:33
498,500,32297,15211,7787,1858,1,107.00,16.05,2008-02-01 06:39:44
1664,1766,19553,10792,1670,1859,3,615.00,92.25,2008-02-02 09:55:32
1699,1805,9665,5842,2654,1859,4,164.00,24.60,2008-02-02 12:58:18
2403,2566,27170,6854,3192,1859,4,396.00,59.40,2008-02-02 04:08:57
2585,2771,26881,14111,3031,1859,1,141.00,21.15,2008-02-02 01:11:57
2988,3187,48833,22464,4423,1859,2,256.00,38.40,2008-02-02 08:28:53
3635,3927,13683,14119,4358,1859,3,294.00,44.10,2008-02-02 12:15:56
1176,1221,233,1285,7973,1860,2,320.00,48.00,2008-02-03 11:09:38
617,627,36284,6084,2906,1861,4,768.00,115.20,2008-02-04 08:27:19
880,891,11915,2358,8113,1861,2,428.00,64.20,2008-02-04 10:58:13
2349,2517,3043,8627,4719,1861,2,170.00,25.50,2008-02-04 01:04:04
2739,2949,30738,3708,4991,1861,1,196.00,29.40,2008-02-04 08:49:37
96,118,6079,815,1611,1862,1,47.00,7.05,2008-02-05 04:02:36
428,431,13808,16758,8429,1862,1,179.00,26.85,2008-02-05 10:36:34
653,664,36539,19205,7514,1862,2,210.00,31.50,2008-02-05 11:57:36
678,691,16739,24149,2563,1862,4,412.00,61.80,2008-02-05 02:57:32
2258,2435,43436,3067,6940,1862,2,118.00,17.70,2008-02-05 08:20:53
554,558,41018,13075,654,1863,2,424.00,63.60,2008-02-06 01:25:19
1286,1358,46664,9046,4029,1863,2,124.00,18.60,2008-02-06 07:24:53
1385,1469,48659,18735,4706,1863,3,336.00,50.40,2008-02-06 01:53:11
1808,1923,49018,20081,3158,1863,2,120.00,18.00,2008-02-06 07:03:56
855,868,40266,3710,1524,1864,2,122.00,18.30,2008-02-07 08:09:50
1157,1208,574,6584,3541,1864,1,120.00,18.00,2008-02-07 09:39:48
2468,2642,5094,12308,7147,1864,4,816.00,122.40,2008-02-07 07:42:22
939,945,12963,2597,3033,1865,1,34.00,5.10,2008-02-08 03:42:54
1637,1750,24320,7382,2025,1865,1,220.00,33.00,2008-02-08 08:09:13
1687,1794,9822,1464,6364,1865,4,432.00,64.80,2008-02-08 12:06:02
2318,2487,15458,30904,3117,1865,2,124.00,18.60,2008-02-08 11:17:32
2404,2566,27170,12171,3192,1865,2,198.00,29.70,2008-02-08 04:11:19
3226,3468,7981,7961,4832,1865,4,180.00,27.00,2008-02-08 07:50:26
3533,3812,35240,15055,4358,1865,1,219.00,32.85,2008-02-08 08:27:59
106,124,24514,5540,5784,1866,2,364.00,54.60,2008-02-09 05:50:05
938,945,12963,4052,3033,1866,2,68.00,10.20,2008-02-09 03:41:49
1158,1208,574,7941,3541,1866,2,240.00,36.00,2008-02-09 09:42:56
2402,2566,27170,13270,3192,1866,1,99.00,14.85,2008-02-09 04:06:48
2738,2949,30738,7755,4991,1866,4,784.00,117.60,2008-02-09 08:48:49
2773,2972,9443,29830,136,1866,4,232.00,34.80,2008-02-09 10:12:12
